"Year","State","State ANSI","Totals","Process Market","Fresh Market","Metric","Value","CV (%)"
2021,"ALASKA","02","OPERATIONS WITH SALES","","","",2,"(H)"
2021,"ALASKA","02","PRODUCTION","","","CWT",NA,"(D)"
2021,"ALASKA","02","SALES","","","$",NA,"(D)"
2021,"ALASKA","02","SALES","","","CWT",NA,"(D)"
2021,"ALASKA","02","","","OPERATIONS WITH SALES","",2,"(H)"
2021,"ALASKA","02","","","SALES","$",NA,"(D)"
2021,"ALASKA","02","","","SALES","CWT",NA,"(D)"
2021,"CALIFORNIA","06","OPERATIONS WITH SALES","","","",142,"19.2"
2021,"CALIFORNIA","06","PRODUCTION","","","CWT",NA,"51.6"
2021,"CALIFORNIA","06","SALES","","","$",NA,"46.0"
2021,"CALIFORNIA","06","SALES","","","CWT",NA,"51.7"
2021,"CALIFORNIA","06","","","OPERATIONS WITH SALES","",141,"20.4"
2021,"CALIFORNIA","06","","","SALES","$",NA,"(D)"
2021,"CALIFORNIA","06","","","SALES","CWT",NA,"50.6"
2021,"CALIFORNIA","06","","OPERATIONS WITH SALES","","",7,"60.0"
2021,"CALIFORNIA","06","","SALES","","$",NA,"(D)"
2021,"CALIFORNIA","06","","SALES","","CWT",NA,"(H)"
2021,"CONNECTICUT","09","OPERATIONS WITH SALES","","","",8,"74.4"
2021,"CONNECTICUT","09","PRODUCTION","","","CWT",183,"(H)"
2021,"CONNECTICUT","09","SALES","","","$",NA,"(H)"
2021,"CONNECTICUT","09","SALES","","","CWT",183,"(H)"
2021,"CONNECTICUT","09","","","OPERATIONS WITH SALES","",8,"74.4"
2021,"CONNECTICUT","09","","","SALES","$",NA,"(H)"
2021,"CONNECTICUT","09","","","SALES","CWT",183,"(H)"
2021,"FLORIDA","12","OPERATIONS WITH SALES","","","",10,"57.3"
2021,"FLORIDA","12","PRODUCTION","","","CWT",NA,"(H)"
2021,"FLORIDA","12","SALES","","","$",NA,"(H)"
2021,"FLORIDA","12","SALES","","","CWT",NA,"(H)"
2021,"FLORIDA","12","","","OPERATIONS WITH SALES","",10,"57.3"
2021,"FLORIDA","12","","","SALES","$",NA,"(H)"
2021,"FLORIDA","12","","","SALES","CWT",NA,"(H)"
2021,"GEORGIA","13","OPERATIONS WITH SALES","","","",4,"80.4"
2021,"GEORGIA","13","PRODUCTION","","","CWT",19,"78.0"
2021,"GEORGIA","13","SALES","","","$",NA,"77.8"
2021,"GEORGIA","13","SALES","","","CWT",19,"78.0"
2021,"GEORGIA","13","","","OPERATIONS WITH SALES","",4,"80.4"
2021,"GEORGIA","13","","","SALES","$",NA,"77.8"
2021,"GEORGIA","13","","","SALES","CWT",19,"78.0"
2021,"IDAHO","16","OPERATIONS WITH SALES","","","",6,"53.2"
2021,"IDAHO","16","PRODUCTION","","","CWT",111,"71.4"
2021,"IDAHO","16","SALES","","","$",NA,"74.1"
2021,"IDAHO","16","SALES","","","CWT",111,"71.4"
2021,"IDAHO","16","","","OPERATIONS WITH SALES","",6,"53.2"
2021,"IDAHO","16","","","SALES","$",NA,"74.1"
2021,"IDAHO","16","","","SALES","CWT",111,"71.4"
2021,"ILLINOIS","17","OPERATIONS WITH SALES","","","",5,"95.4"
2021,"ILLINOIS","17","PRODUCTION","","","CWT",53,"94.9"
