"Year","Period","State","State ANSI","Data Item","Domain","Domain Category","Value","CV (%)","Chemical","Chemical_Code"
2022,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL","NOT SPECIFIED",108,NA,NA,NA
2022,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL","NOT SPECIFIED",169,NA,NA,NA
2022,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"MARKETING YEAR","FLORIDA","12","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"MARKETING YEAR","OTHER STATES",NA,"$ / CWT","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2022,"MARKETING YEAR","OTHER STATES",NA,"$ / CWT","TOTAL","NOT SPECIFIED",135,NA,NA,NA
2022,"MARKETING YEAR","OTHER STATES",NA,"$ / CWT","TOTAL","NOT SPECIFIED",27.1,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","CALIFORNIA","06","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2022,"YEAR","FLORIDA","12","$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","FLORIDA","12","CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"$","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"CWT","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"CWT","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"$","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
2022,"YEAR","OTHER STATES",NA,"CWT","TOTAL","NOT SPECIFIED",0,NA,NA,NA
2021,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL","NOT SPECIFIED",125,NA,NA,NA
2021,"MARKETING YEAR","CALIFORNIA","06","$ / CWT","TOTAL","NOT SPECIFIED",NA,NA,NA,NA
